proto=tcp,proto=udp,proto=icmp,duration,orig_bytes,resp_bytes,conn_state=SF,conn_state=S0,conn_state=REJ,conn_state=RSTR,conn_state=RSTOS0,conn_state=SH,conn_state=RSTRH,conn_state=OTH,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,2.998775,0,0,0,1,0,0,0,0,0,0,3,180,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,2.998818,0,0,0,1,0,0,0,0,0,0,3,180,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,2.99852,0,0,0,1,0,0,0,0,0,0,3,180,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,2.999292,0,0,0,1,0,0,0,0,0,0,3,180,0,0,0
1,0,0,2.999296,0,0,0,1,0,0,0,0,0,0,3,180,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,2.998792,0,0,0,1,0,0,0,0,0,0,3,180,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,2.998807,0,0,0,1,0,0,0,0,0,0,3,180,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,76,0,0,1
1,0,0,2.998809,0,0,0,1,0,0,0,0,0,0,3,180,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,0
0,1,0,,,,0,1,0,0,0,0,0,0,1,40,0,0,1
1,0,0,2.998792,0,0,0,1,0,0,0,0,0,0,3,180,0,0,0
1,0,0,,,,0,1,0,0,0,0,0,0,1,60,0,0,1
