proto=tcp,duration,orig_bytes,resp_bytes,conn_state=S0,conn_state=SF,conn_state=OTH,conn_state=RSTR,conn_state=S1,missed_bytes,history=D,history=Dd,history=S,history=^d,history=D^d,history=ShADaCGdtfF,history=ShADaCGr,history=ShADCaGcgd,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,5.005151,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.007243,90,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,146,2,146,1
0,0.00225,90,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,146,2,146,1
0,5.005154,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.002246,90,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,146,2,146,1
0,5.005157,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.001999,90,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,146,2,146,1
0,5.001404,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,5.001156,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.028733,90,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,146,2,146,1
0,0.002502,90,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,146,2,146,1
0,5.005154,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.005743,90,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,146,2,146,1
0,5.005153,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.011986,90,90,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,146,2,146,1
0,5.005155,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.030732,78,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,134,1,131,1
0,0.002497,39,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,1,131,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,0.001757,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005153,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.001501,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000748,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.00515,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000999,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000748,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.010399,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000749,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,0.000748,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.001403,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000502,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.001498,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005153,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.002249,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.405021,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005402,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000751,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,0.000747,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005149,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.001748,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.127185,39,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,1,131,1
0,0.000749,39,39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,1,67,1
0,0.002493,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005155,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0025,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,2.502827,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
1,3.154212,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,180,0,0,0
0,1.617577,39,55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,1,83,1
1,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,0,0,0
0,0.079702,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005151,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.005496,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
1,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,0,0,0
0,0.002996,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005152,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.00075,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,52.848922,96,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,152,1,76,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,2.502832,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,0.001248,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.000653,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,0,0,1
0,0.011242,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005152,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.041737,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,2.502824,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000999,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005133,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.00075,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
1,3.089987,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,180,0,0,0
1,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,0,0,0
0,0.01099,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005135,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,2.523548,76,54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,132,1,82,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,0,0,1
1,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,0,0,0
0,0.001249,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005135,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.001248,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000746,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005136,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0005,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
1,3.121713,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,180,0,0,0
0,0.038473,38,54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,66,1,82,1
1,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,0,0,0
1,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,0,0,0
0,1.304013,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
1,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,88,1
0,0.002249,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.000636,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,0,0,1
0,0.072703,38,54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,66,1,82,1
0,5.005141,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.00524,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.010747,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000496,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005142,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0005,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.020245,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.00514,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.017488,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.000388,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.022486,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,0,0,1
0,0.000499,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005137,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0005,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000734,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005138,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000499,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000734,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005155,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0005,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000488,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.000651,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0005,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.00049,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.00514,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,0,0,1
0,0.018738,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005375,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0005,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000742,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005151,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000499,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,5.030111,78,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,134,1,131,1
0,5.005386,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.018986,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,0,0,1
0,0.132918,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005146,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.043974,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.019481,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005158,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.075702,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,0.105439,39,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,1,131,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,0.001495,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005388,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0005,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.024735,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005393,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.033483,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,5.005145,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000749,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.00075,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000745,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005148,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000501,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.002496,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,0.032729,39,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,1,131,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,0.000495,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005147,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000499,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,3.008529,96,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,152,0,0,1
0,0.000747,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.00515,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.0005,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.189394,39,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,1,131,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,0.082704,39,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,67,1,131,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,0.000747,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.004893,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,73,0,0,1
0,0.000732,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,5.005149,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.00075,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,5.032864,78,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,134,1,131,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,5.066107,78,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,134,1,131,1
0,53.000004,480,480,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,760,10,760,1
0,52.003324,480,480,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,760,10,760,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,0.003487,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.005986,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.002749,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,5.047619,96,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,152,1,76,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,5.055613,78,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,134,1,131,1
0,5.005145,78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,134,0,0,1
0,0.000746,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.000499,45,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,73,1,73,1
0,0.006244,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.003,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,72.043403,384,384,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,608,8,608,1
0,0.002496,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67,0,0,1
0,5.039627,78,103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,134,1,131,1
0,0.009495,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.025988,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,66.986541,336,336,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,532,7,532,1
0,0.145424,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,1
0,0.005996,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.002998,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,67.005036,384,384,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,608,8,608,1
0,69.018132,384,384,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,608,8,608,1
0,0.02948,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.007745,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.054227,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.053971,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.005491,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.002243,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.050721,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.025485,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.003244,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.005995,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.059464,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.061211,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.034231,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.060214,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.035224,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.14042,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.061742,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.002249,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
0,0.037725,48,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,76,1,76,1
