proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
udp,30.004642,8768,0,S0,0,D,16,9216,0,0,Benign
udp,0.004564,0,3900,SHR,0,^d,0,0,13,4264,Benign
udp,3.948539,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.768179,876,0,S0,0,D,6,1164,0,0,Benign
udp,0.000114,451,0,S0,0,D,11,979,0,0,Benign
udp,3.756296,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.715573,876,0,S0,0,D,6,1164,0,0,Benign
icmp,180.863984,600,0,OTH,0,Benign,14,1384,0,0,Benign
icmp,134.816029,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,135.000174,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,135.487944,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,178.246691,6900,0,S0,0,D,23,7544,0,0,Benign
udp,2.052335,160,498,SF,0,Dd,4,272,4,610,Benign
tcp,0.000006,0,0,SHR,0,^f,0,0,2,80,Benign
tcp,0.000006,0,0,SHR,0,^f,0,0,2,80,Benign
tcp,0.000006,0,0,SHR,0,^f,0,0,2,80,Benign
icmp,0.000052,176,0,OTH,0,Benign,11,704,0,0,Benign
icmp,0.000042,200,0,OTH,0,Benign,10,760,0,0,Benign
icmp,0.000041,200,0,OTH,0,Benign,10,760,0,0,Benign
udp,0.82953,0,1800,SHR,0,^d,0,0,6,1968,Benign
udp,9.399944,7428,0,S0,0,D,24,8100,0,0,Benign
icmp,0.00671,40,40,OTH,0,Benign,2,96,2,96,Benign
udp,0.019494,96,96,SF,0,Dd,2,152,2,152,Benign
icmp,13.017631,792,0,OTH,0,Benign,99,5544,0,0,Benign
tcp,0.000006,0,0,SHR,0,^f,0,0,2,80,Benign
udp,3.959121,876,0,S0,0,D,6,1164,0,0,Benign
tcp,0.000014,0,0,SHR,0,^f,0,0,2,80,Benign
udp,3.774344,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.893012,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.180049,876,0,S0,0,D,6,1164,0,0,Benign
tcp,0.000015,0,0,SHR,0,^f,0,0,2,80,Benign
icmp,134.720015,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,134.983429,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,135.583945,400,0,OTH,0,Benign,16,1296,0,0,Benign
