proto=udp,proto=tcp,proto=icmp,duration,orig_bytes,resp_bytes,conn_state=S0,conn_state=SF,conn_state=other,missed_bytes,history=D,history=Dd,history=S,history=other,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,0.072209,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.002749,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,0.001744,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001986,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,0.004745,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001743,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
0,0,1,,,,0,0,1,0,,,,,1,68,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,0.001997,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001744,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.002497,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,0.001738,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.012732,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,5.003413,78,0,1,0,0,0,1,0,0,0,2,134,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,0.004746,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001737,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,0.002496,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,0.001737,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,5.005905,156,0,1,0,0,0,1,0,0,0,4,268,0,0,0
1,0,0,0.011993,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.027469,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001242,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,0.002231,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.005478,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
0,1,0,,,,1,0,0,0,0,0,1,0,1,60,0,0,0
1,0,0,0.047974,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001729,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,0.001733,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.016484,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,0.011738,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.048711,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001747,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001746,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.00173,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001732,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,40,0,0,0
1,0,0,0.00498,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,1,76,0,0,0
1,0,0,0.001744,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.001745,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
1,0,0,0.006995,48,48,0,1,0,0,0,1,0,0,1,76,1,76,0
