ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label
1545466959.452731,CE5ic5199oYzRgDZwf,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1537526900.924959,CZlVmC2GjvJvoBZJp7,192.168.2.3,50642,52.216.169.171,80,tcp,-,-,-,-,SH,-,-,0,F,1,40,0,0,-,benign,-
1545466975.606012,CIsD7x4cKF6VpULABe,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1547129590.282641,CxvOk53hcRe4xvzsB8,192.168.1.197,50649,192.168.1.1,53,udp,dns,0.000497,29,45,SF,-,-,0,Dd,1,57,1,73,-,benign,-
1545466971.548069,CDXRHx16uGh9CCq5Uj,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1537533117.273256,C8hYuKU2QfjcC0dgh,169.254.15.115,5353,224.0.0.251,5353,udp,dns,7.013791,1216,0,S0,-,-,0,D,6,1384,0,0,-,benign,-
1545466979.162220,CMtn9C4fDNsacLkJE,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545466983.797082,C0MSIz2bgQBw9H0LXf,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545466960.712524,Cq7BQoaRckwleXWQb,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545416314.456336,CXDXun1VIro09v0NJe,192.168.1.195,123,89.221.212.46,123,udp,-,-,-,-,S0,-,-,0,D,1,76,0,0,-,benign,-
1547132310.687276,CA1O7n4gseczGmmV6k,192.168.1.197,52954,185.244.25.183,4975,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,benign,-
1545466987.913231,CVIP7l2ZmDz4HNGi9f,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1545466964.269737,CBLbM74IMRfeelDFLf,192.168.1.195,65279,123.59.209.185,80,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,malicious,DDoS
1537537869.273452,CyVnVN2DQgvvUgQV1a,0.0.0.0,68,255.255.255.255,67,udp,dhcp,59.481849,3000,0,S0,-,-,0,D,10,3280,0,0,-,benign,-
