proto=tcp,proto=udp,proto=other,state=FIN,state=CON,state=other,dur,sbytes,dbytes,sloss,dloss,service=dns,service=ftp-data,service=ssh,service=http,service=smtp,service=ftp,service=pop3,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,Sjit,Djit,Stime,Ltime,ct_flw_http_mthd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,label
1,0,0,1,0,0,0.098989,4550,70026,7,33,,,,,,,,5590358.5,78,82,255,255,452200460,452483498,58,854,0,78.741151,78.257939,1421951772,1421951772,0,14,4,5,5,1,1,2,0
0,1,0,0,1,0,0.001012,146,178,0,0,1,0,0,0,0,0,0,703557.3125,2,2,0,0,0,0,73,89,0,0,0,1421931942,1421931942,0,3,1,1,3,2,1,1,0
1,0,0,1,0,0,0.01231,2542,23122,7,14,,,,,,,,14669049,40,42,255,255,2060493296,2065965778,64,551,0,17.976652,17.148856,1421948116,1421948116,0,5,9,2,3,1,1,1,0
1,0,0,1,0,0,0.014016,2230,15228,7,11,,,,,,,,8450343,34,36,255,255,3207023802,1057750679,66,423,0,26.482559,24.278634,1421936504,1421936504,0,10,3,1,3,1,1,1,0
1,0,0,1,0,0,0.091463,3926,56022,7,27,,,,,,,,4828094.5,66,68,255,255,4179234883,4206040424,59,824,0,94.23653,92.431657,1421945020,1421945020,0,26,12,13,26,4,4,4,0
1,0,0,1,0,0,0.559754,424,8824,1,4,0,1,0,0,0,0,0,115607.9219,8,12,255,255,2303123996,2853321451,53,735,0,4891.397161,3848.819469,1421934925,1421934925,0,2,4,4,2,1,1,1,0
0,1,0,0,1,0,0.004743,568,320,0,0,,,,,,,,404807.0938,4,4,0,0,0,0,142,80,0,1.718505,1.566479,1421929262,1421929262,0,8,9,4,3,1,1,3,0
0,1,0,0,1,0,0.001086,130,162,0,0,1,0,0,0,0,0,0,596685.0625,2,2,0,0,0,0,65,81,0,0,0,1421943040,1421943040,0,2,4,2,4,1,1,1,0
1,0,0,1,0,0,0.332909,4400,3080,7,7,,,,,,,,71563.10156,28,30,255,255,3650406961,1508337519,157,103,0,700.143819,17.891574,1421933784,1421933785,0,17,9,3,5,1,1,2,0
1,0,0,1,0,0,0.024955,3806,51314,7,26,,,,,,,,16201001,64,66,255,255,1575877875,1576185615,59,777,0,21.243116,20.77227,1421927954,1421927954,0,18,4,3,1,1,1,1,0
1,0,0,1,0,0,0.223488,424,8824,1,4,,,,,,,,289554.6875,8,12,255,255,2219498372,2297477119,53,735,0,2169.509454,1725.861794,1421945074,1421945075,0,10,8,11,14,3,3,11,0
0,1,0,0,1,0,0.00104,146,178,0,0,1,0,0,0,0,0,0,684615.375,2,2,0,0,0,0,73,89,0,0,0,1421934954,1421934954,0,6,2,1,3,2,1,1,0
1,0,0,1,0,0,0.664779,534,268,2,1,,,,,,,,2695.632568,10,6,255,255,1107877411,3524417424,53,45,0,3501.390292,155.935344,1421931660,1421931660,0,6,3,1,2,1,1,1,0
1,0,0,1,0,0,0.185045,8712,208,1,0,,,,,,,,6744.305176,10,4,255,255,2735069890,1323461697,871,52,0,57.439773,86.327602,1421938086,1421938087,0,2,6,4,4,1,1,2,0
1,0,0,1,0,0,0.044016,3926,55074,7,27,,,,,,,,9862777,66,68,255,255,1889635990,1889941314,59,810,0,41.629621,40.417283,1421937532,1421937532,0,5,3,1,3,1,1,1,0
1,0,0,1,0,0,0.789726,7806,15474,30,32,,,,,,,,155517.2188,122,126,255,255,4089166029,1940699755,64,123,0,438.461916,434.64931,1421950106,1421950107,0,2,7,5,1,1,1,1,0
