dur,proto=tcp,proto=udp,proto=other,service=-,service=http,service=dns,service=other,state=FIN,state=INT,state=other,sbytes,dbytes,rate,sloss,dloss,sjit,djit,swin,stcpb,dtcpb,dwin,smean,dmean,trans_depth,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,label
0.000004,0,0,1,1,0,0,0,0,1,0,200,0,250000.0006,0,0,0,0,0,0,0,0,100,0,0,3,2,2,2,3,2,3,1
59.49836,0,0,1,1,0,0,0,0,0,1,20128,0,1.226925,0,0,998.777438,0,0,0,0,0,272,0,0,1,1,1,1,1,1,1,1
0.000006,0,1,0,1,0,0,0,0,1,0,2058,0,166666.6608,0,0,0,0,0,0,0,0,1029,0,0,4,1,1,1,4,1,4,1
0.676564,1,0,0,1,0,0,0,1,0,0,564,354,25.126966,2,1,5550.392492,134.303297,255,1509266054,683675580,255,56,44,0,3,1,1,1,1,1,1,1
1.120035,0,0,1,1,0,0,0,0,1,0,3024,0,24.106388,0,0,46.794559,0,0,0,0,0,108,0,0,1,1,1,1,1,1,1,1
0.267973,1,0,0,0,1,0,0,1,0,0,860,1778,63.439226,2,2,1463.974261,53.630293,255,282547364,452524046,255,86,222,1,1,1,1,1,1,1,1,1
0.000006,0,0,1,1,0,0,0,0,1,0,200,0,166666.6608,0,0,0,0,0,0,0,0,100,0,0,3,3,3,3,3,4,3,1
0.000007,0,1,0,0,0,1,0,0,1,0,114,0,142857.1409,0,0,0,0,0,0,0,0,57,0,0,16,16,16,16,16,16,16,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,28,18,18,18,28,19,28,1
4.459982,1,0,0,0,0,0,1,1,0,0,41200,1876,16.367779,21,8,8558.947007,324.135,255,451904889,30122135,255,824,78,0,1,1,1,1,1,1,1,1
0.000001,0,1,0,0,0,1,0,0,1,0,114,0,1000000.003,0,0,0,0,0,0,0,0,57,0,0,22,17,17,17,22,17,22,1
2.074789,1,0,0,0,0,0,1,1,0,0,948,768,13.013371,4,4,9014.042807,199.425594,255,4224898620,3066970116,255,68,55,0,2,1,1,1,2,1,2,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,3,2,2,2,3,4,3,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,8,8,8,8,8,8,8,1
0.924082,1,0,0,0,1,0,0,1,0,0,1484,354,18.396636,2,1,6029.140611,194.775266,255,589852966,60349444,255,148,44,1,1,1,1,1,1,1,1,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,5,5,5,5,5,6,5,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,18,18,18,8,18,18,18,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,29,18,18,18,29,20,29,1
0.000004,0,1,0,0,0,1,0,0,1,0,114,0,250000.0006,0,0,0,0,0,0,0,0,57,0,0,26,26,26,13,26,26,26,1
1.300814,1,0,0,1,0,0,0,1,0,0,1070,786,16.143737,4,2,408238.5246,13404.46,255,3776901265,2817949760,255,89,79,0,6,3,4,3,4,4,4,1
0.000004,0,0,1,1,0,0,0,0,1,0,200,0,250000.0006,0,0,0,0,0,0,0,0,100,0,0,4,2,2,2,4,20,4,1
0.810683,1,0,0,1,0,0,0,1,0,0,534,268,18.502916,2,1,4763.80132,207.223703,255,2012613149,615611197,255,53,45,0,5,6,1,1,2,3,10,1
0.660714,1,0,0,0,1,0,0,1,0,0,844,4030,31.783799,2,3,4491.717726,3863.717592,255,3211434452,626406662,255,84,336,1,2,2,2,2,2,2,2,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,7,4,4,4,12,4,7,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,31,20,20,10,31,20,31,1
0.781839,1,0,0,1,0,0,0,1,0,0,850,268,19.185535,2,1,3866.076864,176.087063,255,1683058291,1812785010,255,85,45,0,6,2,3,2,4,3,5,1
0.000004,0,0,1,1,0,0,0,0,1,0,200,0,250000.0006,0,0,0,0,0,0,0,0,100,0,0,12,3,2,2,16,3,12,1
0.000005,0,1,0,1,0,0,0,0,1,0,168,0,200000.0051,0,0,0,0,0,0,0,0,84,0,0,1,1,1,1,1,1,1,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,27,22,22,11,27,22,27,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,30,28,27,11,31,28,30,1
0.000006,0,1,0,0,0,1,0,0,1,0,114,0,166666.6608,0,0,0,0,0,0,0,0,57,0,0,18,18,18,18,18,19,18,1
0.000008,0,1,0,0,0,1,0,0,1,0,114,0,125000.0003,0,0,0,0,0,0,0,0,57,0,0,15,15,15,15,15,17,15,1
0.746173,1,0,0,0,1,0,0,1,0,0,832,1160,22.78292,2,2,4376.702907,140.489219,255,3099193175,126390565,255,83,145,1,4,2,2,2,4,2,4,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,12,4,3,3,16,4,12,1
45.649635,0,0,1,1,0,0,0,0,1,0,1280,0,0.416214,0,0,2736.146,0,0,0,0,0,64,0,0,1,1,1,1,1,2,1,1
0.957601,1,0,0,0,1,0,0,1,0,0,770,354,17.752696,2,1,5584.751065,235.853328,255,3195153735,2380576362,255,77,44,1,1,1,1,1,1,2,1,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,36,32,32,15,36,32,36,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,28,13,13,13,28,13,28,1
0.00001,0,0,1,1,0,0,0,0,1,0,200,0,100000.0025,0,0,0,0,0,0,0,0,100,0,0,9,2,1,1,12,2,9,1
0.00001,0,0,1,1,0,0,0,0,1,0,200,0,100000.0025,0,0,0,0,0,0,0,0,100,0,0,12,5,4,4,14,5,12,1
0.000008,0,0,1,1,0,0,0,0,1,0,200,0,125000.0003,0,0,0,0,0,0,0,0,100,0,0,13,4,4,4,13,5,13,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,17,16,16,16,17,16,17,1
0.000001,0,1,0,0,0,1,0,0,1,0,114,0,1000000.003,0,0,0,0,0,0,0,0,57,0,0,16,16,16,16,17,16,16,1
0.000003,0,0,1,1,0,0,0,0,1,0,200,0,333333.3215,0,0,0,0,0,0,0,0,100,0,0,5,1,1,1,5,1,5,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,17,18,17,17,17,17,17,1
0.711892,0,0,1,1,0,0,0,0,0,1,504,368,7.023537,0,0,335.584156,0,0,0,0,0,126,184,0,1,1,1,1,1,1,1,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,33,33,33,16,33,33,33,1
0.666264,1,0,0,1,0,0,0,1,0,0,564,354,25.515411,2,1,5425.595092,135.873859,255,3694665492,438532354,255,56,44,0,1,1,1,1,1,1,1,1
1.320462,1,0,0,0,0,0,1,1,0,0,810,682,18.932768,4,4,5263.97098,140.54175,255,387963031,518017180,255,58,57,0,1,1,1,1,1,1,1,1
0.000001,0,0,1,1,0,0,0,0,1,0,200,0,1000000.003,0,0,0,0,0,0,0,0,100,0,0,2,1,1,1,2,1,2,1
0.00001,0,0,1,1,0,0,0,0,1,0,200,0,100000.0025,0,0,0,0,0,0,0,0,100,0,0,9,6,4,4,13,6,9,1
1.442682,1,0,0,0,1,0,0,1,0,0,836,1230,11.783608,2,2,9163.905302,347.696875,255,2822304496,1553893791,255,84,154,1,1,2,1,1,1,26,1,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,26,5,5,5,26,5,26,1
0.000006,0,1,0,0,0,1,0,0,1,0,114,0,166666.6608,0,0,0,0,0,0,0,0,57,0,0,25,8,8,8,25,8,25,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,39,12,12,12,39,12,39,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,9,9,9,9,9,9,9,1
1.584788,1,0,0,1,0,0,0,1,0,0,540,268,9.464989,2,1,11764.25047,555.063,255,694595772,2443948399,255,54,45,0,6,1,1,1,7,2,1,1
0.000004,0,0,1,1,0,0,0,0,1,0,200,0,250000.0006,0,0,0,0,0,0,0,0,100,0,0,2,1,1,1,2,1,2,1
3.302204,1,0,0,0,0,0,1,1,0,0,1170,1664,13.021607,7,9,11209.1509,13267.76542,255,1090915025,2736954456,255,53,76,0,1,12,1,1,2,2,1,1
0.000003,0,1,0,0,0,1,0,0,1,0,122,0,333333.3215,0,0,0,0,0,0,0,0,61,0,0,2,1,1,1,2,1,2,1
0.000003,0,0,1,1,0,0,0,0,1,0,200,0,333333.3215,0,0,0,0,0,0,0,0,100,0,0,4,2,2,2,5,2,4,1
0.000004,0,1,0,0,0,1,0,0,1,0,114,0,250000.0006,0,0,0,0,0,0,0,0,57,0,0,16,16,16,16,16,16,16,1
1.199062,1,0,0,1,0,0,0,1,0,0,564,354,14.177749,2,1,7312.765709,254.51875,255,3482815108,1576208728,255,56,44,0,1,1,1,1,1,1,1,1
0.373137,1,0,0,0,1,0,0,1,0,0,820,268,40.199712,2,1,3041.811577,123.565578,255,2468761929,925469481,255,82,45,1,1,1,1,1,1,1,1,1
0.000002,0,1,0,0,0,1,0,0,1,0,114,0,500000.0013,0,0,0,0,0,0,0,0,57,0,0,27,16,16,16,27,17,27,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,29,11,11,11,29,11,29,1
0.363315,1,0,0,0,1,0,0,1,0,0,35056,354,112.849735,14,1,1196.12072,74.482531,255,2364136170,2046883838,255,1031,44,1,1,1,1,1,1,35,1,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,12,9,9,3,13,9,12,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,7,6,3,3,12,6,7,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,14,14,14,14,14,15,14,1
0.000001,0,1,0,1,0,0,0,0,1,0,1064,0,1000000.003,0,0,0,0,0,0,0,0,532,0,0,4,4,1,1,3,1,9,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,32,16,16,16,32,16,32,1
